date,customer_id,invoice,price,revenue,stream_id,times_viewed,country,revenue_past_3days,revenue_past_7days,revenue_past_30days,target
2017-11-01,1,1,130.0,130.0,1,1,Belgium,130.0,130.0,130.0,307.15000000000003
2017-11-02,0,0,0.0,0.0,0,0,Belgium,130.0,130.0,130.0,307.15000000000003
2017-11-03,0,0,0.0,0.0,0,0,Belgium,130.0,130.0,130.0,307.15000000000003
2017-11-04,0,0,0.0,0.0,0,0,Belgium,0.0,130.0,130.0,307.15000000000003
2017-11-05,0,0,0.0,0.0,0,0,Belgium,0.0,130.0,130.0,307.15000000000003
2017-11-06,0,0,0.0,0.0,0,0,Belgium,0.0,130.0,130.0,307.15000000000003
2017-11-07,0,0,0.0,0.0,0,0,Belgium,0.0,130.0,130.0,307.15000000000003
2017-11-08,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-09,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-10,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-11,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-12,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-13,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-14,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-15,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-16,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-17,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-18,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-19,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-20,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-21,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-22,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-23,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-24,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-25,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
2017-11-26,0,0,0.0,0.0,0,0,Belgium,0.0,0.0,130.0,307.15000000000003
